Fed,YYYY,SunOfRatings
INA,1977,18445
IND,1977,6745
IRI,1977,11590
IRL,1977,24205
ISL,1977,81205
ISR,1977,94185
ITA,1977,74740
IVB,1977,2250
JPN,1977,6255
LIB,1977,6780
LUX,1977,13435
MEX,1977,29485
MGL,1977,11440
MLT,1977,8895
MNC,1977,1820
NCA,1977,6830
NED,1977,105020
NOR,1977,67125
NZL,1977,11455
PAK,1977,11295
PAN,1977,2205
PAR,1977,9045
PER,1977,11605
PHI,1977,56525
POL,1977,147765
POR,1977,18120
PUR,1977,13055
ROM,1977,128240
RSA,1977,6875
SCO,1977,24480
SIN,1977,15925
SUI,1977,45725
SWE,1977,118045
SYR,1977,2230
THA,1977,4500
TUN,1977,6975
TUR,1977,13470
UNK,1977,8150
URU,1977,15850
USA,1977,186545
USR,1977,629571
VEN,1977,20330
WLS,1977,19965
YUG,1977,432030
ARG,1979,165115
AUS,1979,24450
AUT,1979,67830
BEL,1979,25340
BOL,1979,6620
BRA,1979,43245
BUL,1979,232765
CAN,1979,68910
CHI,1979,59830
CHN,1979,20825
COL,1979,59615
CRC,1979,9075
CSR,1979,163150
CUB,1979,136810
DDR,1979,143105
DEN,1979,124535
DOM,1979,13605
ECU,1979,29395
ENG,1979,237305
ESA,1979,6835
ESP,1979,91955
FIN,1979,50875
FRA,1979,51885
FRG,1979,231425
GCI,1979,4470
GRE,1979,45470
GUA,1979,4420
GUY,1979,2210
HKG,1979,4665
HON,1979,4470
HUN,1979,226640
INA,1979,22915
IND,1979,26775
IRI,1979,16425
IRL,1979,35330
ISL,1979,95155
ISR,1979,104530
ISV,1979,2350
ITA,1979,84630
IVB,1979,2240
JPN,1979,8530
LIB,1979,6765
LUX,1979,13485
MEX,1979,49900
MGL,1979,9155
MLT,1979,11085
MNC,1979,3715
NCA,1979,6810
NED,1979,121050
NOR,1979,91860
NZL,1979,16250
PAK,1979,11295
PAN,1979,4435
PAR,1979,11380
PER,1979,13960
PHI,1979,60135
POL,1979,215915
POR,1979,18125
PUR,1979,6285
ROM,1979,144580
RSA,1979,4565
SCO,1979,33090
SIN,1979,20610
SUI,1979,57410
SWE,1979,136235
SYR,1979,6715
THA,1979,4500
TUN,1979,7035
TUR,1979,17980
UNK,1979,8880
URU,1979,22485
USA,1979,296405
USR,1979,751895
VEN,1979,22705
WLS,1979,24110
YUG,1979,583035
ALB,1975,11590
ARG,1975,117700
AUS,1975,18165
AUT,1975,38480
BEL,1975,18580
BOL,1975,2205
BRA,1975,43070
BUL,1975,155235
CAN,1975,41740
CHI,1975,37065
CHN,1975,4490
COL,1975,34375
CRC,1975,2295
CSR,1975,122235
CUB,1975,70050
DDR,1975,112495
DEN,1975,70365
DOM,1975,8970
ECU,1975,11290
ENG,1975,88450
ESP,1975,48790
FAI,1975,2205
FIN,1975,31835
FRA,1975,31850
FRG,1975,107405
GRE,1975,15880
HKG,1975,2380
HUN,1975,181305
INA,1975,22920
IND,1975,6930
IRI,1975,9305
IRL,1975,19610
ISL,1975,60655
ISR,1975,53385
ITA,1975,43865
JPN,1975,6035
LIB,1975,6670
LUX,1975,6775
MEX,1975,13170
MGL,1975,20410
MLT,1975,2210
MNC,1975,1820
NED,1975,109095
NOR,1975,50870
NZL,1975,13675
PAK,1975,9095
PAN,1975,2205
PER,1975,11610
PHI,1975,44185
POL,1975,104515
POR,1975,11480
PUR,1975,8560
ROM,1975,101945
RSA,1975,6915
SCO,1975,18405
SIN,1975,15710
SUI,1975,57075
SWE,1975,91750
SYR,1975,2230
TUN,1975,11390
TUR,1975,13515
UNK,1975,4640
URU,1975,6665
USA,1975,123895
USR,1975,671700
VEN,1975,11345
WLS,1975,13870
YUG,1975,309215
AFG,2000,4203
AHO,2000,15183
ALB,2000,54283
ALG,2000,106529
AND,2000,22154
ANG,2000,34979
ARG,2000,1503392
ARM,2000,276271
AUS,2000,322544
AUT,2000,1485367
AZE,2000,269585
BAN,2000,180393
BAR,2000,25965
BEL,2000,416534
BER,2000,17396
BIH,2000,237540
BLR,2000,367745
BOL,2000,37038
BOT,2000,30318
BRA,2000,751261
BRN,2000,23950
BRU,2000,6590
BUL,2000,860292
CAN,2000,494316
CHI,2000,798211
CHN,2000,465159
COL,2000,231831
CRC,2000,97231
CRO,2000,1096355
CUB,2000,854839
CYP,2000,39465
CZE,2000,2040194
DEN,2000,922268
DOM,2000,51205
ECU,2000,182649
EGY,2000,268438
ENG,2000,1607193
ESA,2000,39222
ESP,2000,3148625
EST,2000,212594
FAI,2000,50058
FIJ,2000,4425
FIN,2000,498774
FRA,2000,3098376
FRM,2000,347938
GAM,2000,4410
GCI,2000,8663
GEO,2000,339083
GER,2000,9312476
GHA,2000,4410
GRE,2000,828966
GUA,2000,58663
GUY,2000,2215
HAI,2000,2135
HKG,2000,42390
HON,2000,26598
HUN,2000,3262403
INA,2000,254680
IND,2000,1514760
IRI,2000,192638
IRL,2000,186726
IRQ,2000,267576
ISL,2000,237716
ISR,2000,902725
ISV,2000,13362
ITA,2000,1416633
IVB,2000,6576
JAM,2000,28269
JCI,2000,13077
JOR,2000,90696
JPN,2000,32811
KAZ,2000,285957
KEN,2000,12974
KGZ,2000,34736
KUW,2000,6725
LAT,2000,246679
LBA,2000,24174
LIB,2000,58210
LIE,2000,17604
LTU,2000,326691
LUX,2000,57677
MAC,2000,23383
MAD,2000,4158
MAR,2000,36242
MAS,2000,125958
MAU,2000,2205
MDA,2000,206153
MEX,2000,517010
MGL,2000,112979
MLI,2000,17620
MLT,2000,35179
MNC,2000,24312
MOZ,2000,4281
MRI,2000,8520
MYA,2000,465323
NAM,2000,6606
NCA,2000,67397
NED,2000,1171241
NEP,2000,8420
NGR,2000,49261
NOR,2000,431525
NZL,2000,136366
PAK,2000,62968
PAN,2000,22066
PAR,2000,61527
PER,2000,171972
PHI,2000,217106
PLE,2000,19434
PNG,2000,8843
POL,2000,3168518
POR,2000,222055
PUR,2000,68946
QAT,2000,43606
ROM,2000,1484232
RSA,2000,52807
RUS,2000,7836448
SCO,2000,240609
SEN,2000,6625
SEY,2000,12667
SIN,2000,128802
SLO,2000,588936
SMR,2000,14909
SRI,2000,48474
SUD,2000,17450
SUI,2000,791551
SUR,2000,13238
SVK,2000,882112
SWE,2000,1073355
SYR,2000,95194
THA,2000,35633
TJK,2000,21013
TKM,2000,103637
TRI,2000,23745
TUN,2000,38061
TUR,2000,272862
UAE,2000,130684
UGA,2000,26703
UKR,2000,1696296
URU,2000,103371
USA,2000,2412391
UZB,2000,158455
VEN,2000,125427
VIE,2000,89621
WLS,2000,165258
YEM,2000,33376
YUG,2000,3736499
ZAM,2000,19815
ZIM,2000,43920
AFG,1998,2010
AHO,1998,15145
ALB,1998,34615
AND,1998,13250
ARG,1998,703060
ARM,1998,201610
AUS,1998,186520
AUT,1998,1112570
BAN,1998,114285
BAR,1998,11250
BEL,1998,274425
BER,1998,6395
BIH,1998,138070
BLR,1998,275080
BOT,1998,12955
BRA,1998,486260
BRN,1998,13005
BUL,1998,564475
CAN,1998,290425
CHI,1998,553195
CHN,1998,166830
COL,1998,148485
CRO,1998,809685
CUB,1998,545545
CYP,1998,21845
CZE,1998,1370105
DEN,1998,663075
DOM,1998,27065
EGY,1998,153015
ENG,1998,1022240
ESP,1998,2075725
EST,1998,151275
FAI,1998,35025
FIJ,1998,2220
FIN,1998,356805
FRA,1998,2203470
FRM,1998,246160
GCI,1998,6630
GEO,1998,251045
GER,1998,6065155
GRE,1998,596720
GUA,1998,39265
HAI,1998,2130
HKG,1998,26425
HUN,1998,2278855
INA,1998,185520
IND,1998,888760
IRI,1998,123155
IRL,1998,85865
IRQ,1998,205915
ISL,1998,136280
ISR,1998,623410
ISV,1998,2220
ITA,1998,973335
JAM,1998,2165
JCI,1998,6470
JOR,1998,66055
JPN,1998,23990
LAT,1998,173210
LBA,1998,4210
LIB,1998,28140
LIE,1998,13330
LTU,1998,250720
LUX,1998,33900
MAC,1998,15040
MAR,1998,29710
MAS,1998,64325
MDA,1998,170160
MLT,1998,17590
MNC,1998,17685
MOZ,1998,4280
MYA,1998,35880
NAM,1998,2240
NCA,1998,43155
NED,1998,785530
NEP,1998,6330
NGR,1998,30155
NOR,1998,251890
NZL,1998,90625
PAK,1998,6970
PAN,1998,8715
PAR,1998,35290
PER,1998,136810
PHI,1998,92920
PLE,1998,6520
POL,1998,2209215
POR,1998,154550
PUR,1998,41280
QAT,1998,23830
ROM,1998,1156390
RSA,1998,31375
RUS,1998,4406710
SCO,1998,165510
SEY,1998,10475
SIN,1998,59580
SLO,1998,415080
SMR,1998,6385
SUD,1998,6615
SUI,1998,509110
SVK,1998,551765
SWE,1998,668675
SYR,1998,53580
THA,1998,15540
TKM,1998,77220
TUN,1998,13690
TUR,1998,163390
UAE,1998,91220
UGA,1998,4400
UKR,1998,1228570
URU,1998,46685
USA,1998,1374420
UZB,1998,117550
VEN,1998,44575
VIE,1998,52080
WLS,1998,102845
YEM,1998,11395
YUG,1998,2681470
ZAM,1998,8800
ZIM,1998,13135
ALB,1986,14025
ALG,1986,8820
AND,1986,8865
ANG,1986,4445
ARG,1986,307805
AUS,1986,83235
AUT,1986,163870
BAN,1986,27000
BAR,1986,2280
BEL,1986,88195
BER,1986,4425
BOL,1986,2250
BOT,1986,2205
BRA,1986,97965
BRN,1986,2205
BUL,1986,317080
CAN,1986,131525
CHI,1986,66910
CHN,1986,47995
COL,1986,49730
CRC,1986,13575
CSR,1986,305290
CUB,1986,209215
CYP,1986,8850
DDR,1986,136920
DEN,1986,140130
DOM,1986,17720
ECU,1986,16070
EGY,1986,17800
ENG,1986,318315
ESA,1986,6895
ESP,1986,163505
FAI,1986,11175
FIN,1986,86370
FRA,1986,184060
FRG,1986,865895
GCI,1986,2410
GRE,1986,167395
GUA,1986,17695
HKG,1986,24785
HUN,1986,610635
INA,1986,58725
IND,1986,133435
IRI,1986,2430
IRL,1986,28795
IRQ,1986,8225
ISL,1986,98505
ISR,1986,200865
ISV,1986,4515
ITA,1986,132740
IVB,1986,4425
JAM,1986,6615
JOR,1986,2205
JPN,1986,17200
KEN,1986,6655
LIB,1986,15540
LUX,1986,8880
MAR,1986,2220
MAS,1986,44030
MEX,1986,106865
MGL,1986,20065
MLT,1986,9055
MNC,1986,8830
NCA,1986,18115
NED,1986,219505
NGR,1986,4455
NOR,1986,118010
NZL,1986,42300
PAK,1986,36305
PAN,1986,4535
PAR,1986,13870
PER,1986,9525
PHI,1986,57995
PNG,1986,11025
POL,1986,636960
POR,1986,45115
PUR,1986,15730
ROM,1986,291070
SCO,1986,58515
SEN,1986,2205
SIN,1986,45220
SRI,1986,15930
SUI,1986,135315
SUR,1986,11040
SWE,1986,182530
SYR,1986,13785
THA,1986,15755
TRI,1986,8630
TUN,1986,15950
TUR,1986,49470
UAE,1986,13695
UGA,1986,6620
UNK,1986,6605
URU,1986,20310
USA,1986,683560
USR,1986,810285
VEN,1986,17975
WLS,1986,30080
YEM,1986,2205
YUG,1986,1517915
ZAI,1986,4410
ZAM,1986,2205
ZIM,1986,6645
AHO,1994,15530
ALB,1994,32160
ALG,1994,55335
AND,1994,13435
ANG,1994,17655
ARG,1994,874165
ARM,1994,98370
AUS,1994,184640
AUT,1994,616085
AZE,1994,55275
BAN,1994,57090
BAR,1994,13410
BEL,1994,167145
BER,1994,11020
BIH,1994,118315
BLR,1994,149830
BOL,1994,26275
BOT,1994,13205
BRA,1994,294210
BRN,1994,15440
BRU,1994,6590
BUL,1994,671795
CAN,1994,281210
CHI,1994,249060
CHN,1994,131055
COL,1994,166360
CRC,1994,69475
CRO,1994,607675
CUB,1994,443455
CYP,1994,17870
CZE,1994,865385
DEN,1994,503530
DOM,1994,35935
ECU,1994,46985
EGY,1994,73380
ENG,1994,920970
ESA,1994,15955
ESP,1994,810650
EST,1994,111910
FAI,1994,30845
FIJ,1994,8780
FIN,1994,233945
FRA,1994,866075
FRM,1994,169045
GCI,1994,11105
GEO,1994,159320
GER,1994,4004635
GHA,1994,4410
GRE,1994,384990
GUA,1994,26705
GUY,1994,2215
HAI,1994,2215
HKG,1994,27360
HON,1994,24540
HUN,1994,1751265
INA,1994,115445
IND,1994,455050
IRI,1994,24950
IRL,1994,133860
IRQ,1994,84580
ISL,1994,199115
ISR,1994,544070
ISV,1994,13380
ITA,1994,586230
IVB,1994,6605
JAM,1994,15115
JCI,1994,2070
JOR,1994,24240
JPN,1994,33145
KAZ,1994,93090
KEN,1994,6555
KGZ,1994,16445
KUW,1994,6725
LAT,1994,115530
LBA,1994,17680
LIB,1994,30735
LIE,1994,11375
LTU,1994,145310
LUX,1994,33865
MAR,1994,16065
MAS,1994,52715
MDA,1994,61920
MEX,1994,305225
MGL,1994,72335
MLI,1994,13220
MLT,1994,26475
MNC,1994,22280
MRI,1994,4410
MYA,1994,13585
NAM,1994,2220
NCA,1994,50210
NED,1994,584015
NGR,1994,32070
NOR,1994,260405
NZL,1994,78460
PAK,1994,61030
PAN,1994,20015
PAR,1994,44485
PER,1994,55670
PHI,1994,171285
PLE,1994,13085
POL,1994,1606835
POR,1994,129455
PUR,1994,39590
QAT,1994,15705
ROM,1994,820285
RSA,1994,20735
RUS,1994,2185160
SCO,1994,125310
SEN,1994,6625
SIN,1994,85405
SLO,1994,319950
SMR,1994,4420
SRI,1994,42270
SUD,1994,10995
SUI,1994,389525
SUR,1994,13245
SVK,1994,259120
SWE,1994,617380
SYR,1994,37985
THA,1994,24710
TJK,1994,13925
TKM,1994,20820
TRI,1994,13000
TUN,1994,29785
TUR,1994,98880
UAE,1994,48840
UGA,1994,18140
UKR,1994,397320
URU,1994,64535
USA,1994,1499505
UZB,1994,83420
VEN,1994,57280
VIE,1994,33110
WLS,1994,86650
YEM,1994,26610
YUG,1994,2279485
ZAM,1994,10825
ZIM,1994,34895
